CustomerID,Recency,Frequency,MonetaryValue,AvgTransactionValue,CLV,RollingAvgAmount
12346,325,1,77183.6,77183.6,77183.6,77183.6
12347,1,7,4310.0,615.7142857142857,4310.0,23.766117216117213
12348,74,4,1797.24,449.31,1797.24,57.10236559139784
12349,18,1,1757.55,1757.55,1757.55,21.402283105022832
12350,309,1,334.40000000000003,334.40000000000003,334.40000000000003,19.870588235294118
12352,35,8,2506.04,313.255,2506.04,28.989686274509804
12353,203,1,89.0,89.0,89.0,20.612499999999997
12354,231,1,1079.4,1079.4,1079.4,18.750574712643676
12355,213,1,459.40000000000003,459.40000000000003,459.40000000000003,36.838461538461544
12356,22,3,2811.43,937.1433333333333,2811.43,48.63372881355933
12357,32,1,6207.67,6207.67,6207.67,47.40511450381679
12358,1,2,1168.06,584.03,1168.06,56.43122807017544
12359,57,4,6372.58,1593.145,6372.58,25.64239247311828
12360,51,3,2662.06,887.3533333333334,2662.06,20.03922480620155
12361,286,1,189.9,189.9,189.9,19.575
12362,2,10,5226.2300000000005,522.623,5226.2300000000005,19.547669172932327
12363,109,2,552.0,276.0,552.0,22.428695652173914
12364,7,4,1313.1,328.275,1313.1,15.766470588235295
12365,290,2,641.38,320.69,641.38,19.96757575757576
12367,3,1,168.9,168.9,168.9,14.909090909090908
12370,50,4,3545.69,886.4225,3545.69,21.9387624750499
12371,44,2,1887.96,943.98,1887.96,26.197777777777777
12372,71,3,1298.04,432.68,1298.04,24.931538461538462
12373,310,1,364.6,364.6,364.6,24.97738095238095
12374,24,1,742.9300000000001,742.9300000000001,742.9300000000001,20.19712121212121
12375,10,2,457.5,228.75,457.5,26.72549019607843
12377,314,2,1628.1200000000001,814.0600000000001,1628.1200000000001,20.982943722943723
12378,129,1,4008.62,4008.62,4008.62,18.3062100456621
12379,81,2,852.24,426.12,852.24,22.293916666666664
12380,21,4,2724.81,681.2025,2724.81,25.63070512820513
12381,4,5,1845.31,369.062,1845.31,21.08210727969349
12383,184,5,1850.56,370.11199999999997,1850.56,18.759191919191917
12384,28,2,585.27,292.635,585.27,21.771111111111114
12386,337,2,401.9,200.95,401.9,36.14333333333334
12388,15,6,2780.6600000000003,463.4433333333334,2780.6600000000003,27.461599999999997
12390,79,1,549.84,549.84,549.84,16.6465625
12391,21,1,460.89,460.89,460.89,4.616466666666667
12393,71,4,1582.6000000000001,395.65000000000003,1582.6000000000001,24.549739583333334
12394,63,2,1272.48,636.24,1272.48,42.662222222222226
12395,18,12,3018.63,251.5525,3018.63,19.340042735042736
12397,35,2,2409.9,1204.95,2409.9,18.73456349206349
12398,45,1,1635.6599999999999,1635.6599999999999,1635.6599999999999,17.785803921568625
12399,118,4,1108.65,277.1625,1108.65,18.746610169491525
12401,302,1,84.3,84.3,84.3,17.685
12402,322,1,225.60000000000002,225.60000000000002,225.60000000000002,20.10909090909091
12403,49,1,427.7,427.7,427.7,110.51333333333335
12405,148,1,1710.39,1710.39,1710.39,31.358148148148146
12406,21,2,3415.3,1707.65,3415.3,32.610095238095234
12407,49,5,1708.12,341.62399999999997,1708.12,22.098095238095237
12408,32,5,2888.55,577.71,2888.55,27.07952380952381
12409,78,3,11072.67,3690.89,11072.67,101.71091743119264
12410,308,2,693.33,346.665,693.33,26.77551282051282
12412,74,3,1226.88,408.96000000000004,1226.88,20.070819672131147
12413,66,3,758.1,252.70000000000002,758.1,19.767763157894738
12414,216,3,562.4100000000001,187.47000000000003,562.4100000000001,29.930185185185184
12415,23,21,124914.53,5948.310952380953,124914.53,174.82539215686265
12417,2,9,3649.1,405.4555555555555,3649.0999999999995,18.927881944444444
12418,112,1,668.58,668.58,668.58,19.80627450980392
12420,63,1,600.39,600.39,600.39,20.51948275862069
12421,15,4,807.04,201.76,807.04,17.665962962962965
12422,95,3,803.5600000000001,267.85333333333335,803.5600000000001,20.605811965811967
12423,0,8,1859.31,232.41375,1859.31,14.866880000000002
12424,162,2,1760.96,880.48,1760.96,60.733111111111114
12425,77,1,777.2,777.2,777.2,21.358333333333334
12426,194,1,582.73,582.73,582.73,18.357666666666667
12427,21,3,825.8000000000001,275.2666666666667,825.8000000000002,26.175483870967746
12428,25,9,7956.46,884.0511111111111,7956.46,26.907602040816332
12429,8,4,3750.4,937.6,3750.4,39.34707903780069
12430,42,1,256.4,256.4,256.4,20.612121212121213
12431,35,15,6487.45,432.49666666666667,6487.45,26.066340425531912
12432,42,5,5059.32,1011.8639999999999,5059.32,46.99887345679012
12433,0,7,13375.87,1910.8385714285716,13375.87,31.878166666666665
12434,84,2,806.14,403.07,806.14,16.065133333333332
12435,79,2,7829.89,3914.945,7829.89,222.6802777777778
12436,99,1,509.01,509.01,509.01,28.620416666666667
12437,1,18,4951.41,275.0783333333333,4951.41,25.156834170854264
12438,13,2,2906.85,1453.425,2906.85,27.619557823129252
12441,366,1,173.55,173.55,173.55,15.186363636363637
12442,2,1,172.06,172.06,172.06,13.403611111111111
12444,20,5,5005.46,1001.092,5005.46,27.90403409090909
12445,21,1,133.4,133.4,133.4,28.491666666666667
12446,57,1,1002.3100000000001,1002.3100000000001,1002.3100000000001,17.419239766081873
12447,242,1,476.49,476.49,476.49,17.622692307692308
12448,43,1,449.45,449.45,449.45,18.511363636363637
12449,21,4,4067.29,1016.8225,4067.29,20.919493891797558
12450,155,2,197.88,98.94,197.88,21.067500000000003
12451,10,5,9035.52,1807.104,9035.52,25.455499058380422
12452,16,2,430.57000000000005,215.28500000000003,430.57000000000005,17.98045454545455
12453,133,1,707.09,707.09,707.09,16.518372093023256
12454,55,1,3528.34,3528.34,3528.34,225.9826666666667
12455,72,6,2466.86,411.1433333333334,2466.86,27.42788888888889
12456,43,3,3181.04,1060.3466666666666,3181.04,24.695520000000002
12457,65,7,2363.23,337.6042857142857,2363.23,35.26903225806451
12458,70,2,947.4,473.7,947.4,23.91701754385965
12461,93,2,826.88,413.44,826.88,20.080190476190477
12462,18,2,1189.59,594.795,1189.59,18.42747311827957
12463,52,4,1344.78,336.195,1344.78,16.054859437751002
12464,9,8,1212.05,151.50625,1212.05,41.10287356321839
12465,16,2,742.19,371.095,742.19,15.487021276595744
12468,187,2,729.54,364.77,729.54,19.20631578947368
12471,1,30,19824.05,660.8016666666666,19824.05,42.75310869565217
12472,31,7,6572.11,938.8728571428571,6572.11,19.39427728613569
12473,28,5,3938.55,787.71,3938.55,22.255734126984127
12474,16,18,7375.79,409.7661111111111,7375.79,17.388616352201257
12475,53,1,723.38,723.38,723.38,19.70222222222222
12476,15,11,6816.42,619.6745454545454,6816.419999999999,29.224513590844065
12477,22,6,13219.74,2203.29,13219.74,44.1008
12478,3,1,680.99,680.99,680.99,21.730740740740742
12479,10,1,527.2,527.2,527.2,16.078494623655914
12480,27,4,3281.63,820.4075,3281.63,20.740909090909092
12481,22,10,5596.32,559.632,5596.32,25.792488479262673
12483,16,8,2484.98,310.6225,2484.98,31.746577777777777
12484,32,6,4541.72,756.9533333333334,4541.72,13.117649325626205
12488,9,3,1298.66,432.8866666666667,1298.66,23.648363636363637
12489,335,1,334.93,334.93,334.93,23.504
12490,4,10,5417.93,541.793,5417.93,22.049346938775507
12491,38,1,460.40000000000003,460.40000000000003,460.40000000000003,16.659615384615385
12492,62,2,263.21000000000004,131.60500000000002,263.21000000000004,12.9155
12493,165,2,433.74,216.87,433.74,19.467272727272725
12494,15,7,1246.1,178.0142857142857,1246.1,16.106233766233768
12497,81,1,1043.1,1043.1,1043.1,78.76428571428572
12498,20,3,403.70000000000005,134.5666666666667,403.70000000000005,17.592391304347824
12500,22,11,4257.82,387.07454545454544,4257.82,70.08360655737704
12501,336,1,2169.39,2169.39,2169.39,13.93751677852349
12502,95,5,3723.87,744.774,3723.87,24.586190476190474
12504,17,2,482.04999999999995,241.02499999999998,482.04999999999995,66.5111111111111
12506,232,1,73.5,73.5,73.5,3.282608695652174
12507,133,3,1304.81,434.93666666666667,1304.81,56.64
12508,25,2,398.27,199.135,398.27,5.849323671497585
12509,283,1,176.5,176.5,176.5,28.952380952380956
12510,142,2,982.5699999999999,491.28499999999997,982.5699999999999,28.665757575757578
12512,65,2,138.03,69.015,138.03,4.009705882352941
12513,112,1,612.29,612.29,612.29,16.64504761904762
12514,266,1,1017.6800000000001,1017.6800000000001,1017.6800000000001,19.91529411764706
12515,352,1,383.7,383.7,383.7,20.38854166666667
12516,77,2,1312.06,656.03,1312.06,49.68435897435897
12517,27,5,2502.84,500.56800000000004,2502.84,8.668039906103287
12518,0,5,2056.89,411.378,2056.89,16.475456989247313
12519,63,1,340.84000000000003,340.84000000000003,340.84000000000003,19.03
12520,78,5,2634.26,526.8520000000001,2634.26,17.358179824561404
12521,142,1,599.68,599.68,599.68,15.036973684210526
12522,38,2,192.72,96.36,192.72,15.954444444444446
12523,18,11,1789.77,162.70636363636365,1789.7700000000002,16.82141509433962
12524,8,8,4485.72,560.715,4485.72,30.754722222222224
12526,0,3,1316.66,438.8866666666667,1316.66,18.406478873239436
12527,81,3,348.71000000000004,116.23666666666668,348.71000000000004,19.52777777777778
12528,8,6,1933.48,322.24666666666667,1933.48,20.70177536231884
12530,59,4,1662.28,415.57,1662.28,26.54469696969697
12531,14,1,125.22,125.22,125.22,6.3859803921568625
12532,29,1,349.83000000000004,349.83000000000004,349.83000000000004,20.5846875
12534,130,1,1089.18,1089.18,1089.18,16.336190476190477
12535,91,2,716.35,358.175,716.35,21.53186274509804
12536,42,3,12601.830000000002,4200.610000000001,12601.830000000002,32.41827586206897
12538,28,1,363.95,363.95,363.95,18.143650793650792
